district,agro_climatic_zone,soil_type,season,crop,area_hectares,nitrogen_kgha,phosphorus_kgha,potassium_kgha,soil_ph,organic_carbon_pct,rainfall_mm,temperature_celsius,irrigation_type,yield_qha
Puri,East & South Eastern Coastal Plain,Coastal Saline,Kharif,Groundnut,2.74,40.1,51.0,56.6,6.88,0.87,1374.0,28.2,Rainfed,9.91
Bargarh,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),3.87,72.2,35.4,69.9,6.46,0.55,154.6,24.1,Rainfed,20.2
Balasore,North Eastern Coastal Plain,Sandy Loam,Kharif,Paddy (Kharif),2.11,118.1,36.7,53.2,6.39,0.57,1499.5,29.3,Rainfed,21.39
Sundargarh,North Western Plateau,Red Laterite,Kharif,Ragi (Mandia),2.3,31.5,30.5,23.1,4.51,0.32,1068.1,22.0,Rainfed,7.14
Balasore,North Eastern Coastal Plain,Alluvial,Kharif,Groundnut,5.2,0.0,74.8,45.4,6.16,0.55,1751.0,27.6,Borewell,2.5
Bargarh,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),1.8,109.2,61.2,37.8,6.62,0.63,1170.7,28.2,Rainfed,24.96
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Ragi (Mandia),3.71,35.0,24.3,44.1,6.59,0.55,1427.3,28.0,Rainfed,8.52
Bargarh,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),3.1,86.3,49.0,37.9,6.14,0.64,1339.1,27.4,Canal,17.61
Bargarh,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),2.65,111.5,24.7,56.8,6.86,0.53,917.7,27.7,Canal,16.22
Sundargarh,North Western Plateau,Sandy Loam,Rabi,Mustard,1.69,45.8,24.4,55.3,5.9,0.33,56.2,21.3,Rainfed,5.15
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Paddy (Kharif),1.86,117.2,22.7,36.0,5.42,0.53,1557.1,27.0,Borewell,16.81
Balasore,North Eastern Coastal Plain,Sandy Loam,Rabi,Paddy (Rabi),1.88,91.3,36.9,55.0,6.14,0.45,144.5,23.5,Rainfed,18.6
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Groundnut,3.16,28.7,35.7,46.0,6.22,0.7,1267.8,31.6,Borewell,7.66
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Groundnut,2.37,30.5,43.6,19.6,6.49,0.86,1609.9,29.8,Rainfed,2.5
Bargarh,Western Central Table Land,Alluvial,Kharif,Paddy (Kharif),0.43,98.9,60.7,23.4,6.78,0.55,1366.0,27.1,Canal,16.44
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Mustard,0.71,73.6,22.6,10.8,6.63,0.6,81.9,27.0,Borewell,6.92
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Ragi (Mandia),1.18,30.2,26.7,54.6,6.41,0.54,1291.0,28.3,Borewell,9.57
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,1.61,44.1,56.6,44.6,6.61,0.57,1457.4,28.6,Borewell,10.19
Ganjam,South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),0.48,11.4,35.8,52.6,6.77,0.22,184.1,27.7,Rainfed,5.62
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),4.82,59.2,52.9,35.2,7.02,0.84,1138.0,27.0,Borewell,15.92
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Ragi (Mandia),1.72,48.4,32.9,37.5,5.72,0.82,1648.4,23.4,Rainfed,9.0
Puri,East & South Eastern Coastal Plain,Coastal Saline,Kharif,Paddy (Kharif),2.31,64.9,48.7,86.8,6.57,0.67,1013.4,26.5,Borewell,22.36
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Maize,2.29,77.5,68.0,47.0,5.05,0.54,1490.3,24.5,Borewell,16.94
Sundargarh,North Western Plateau,Sandy Loam,Rabi,Mustard,1.39,71.7,39.7,37.7,5.36,0.6,188.5,24.7,Borewell,4.28
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),4.19,96.5,54.9,78.1,7.39,0.63,953.4,29.3,Borewell,27.53
Balasore,North Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),0.28,0.8,34.4,27.6,6.46,0.64,234.8,23.8,Borewell,2.5
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Ragi (Mandia),2.81,30.0,48.0,24.4,6.45,0.65,516.4,30.5,Borewell,12.32
Mayurbhanj,North Central Plateau,Sandy Loam,Kharif,Paddy (Kharif),0.78,120.5,59.1,20.5,6.14,0.7,1561.8,23.8,Borewell,23.02
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Ragi (Mandia),1.84,51.0,50.0,33.9,6.31,0.52,1068.2,28.9,Rainfed,14.14
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Maize,3.46,91.1,44.0,32.9,6.08,0.48,1347.5,30.3,Borewell,11.81
Sundargarh,North Western Plateau,Red Laterite,Kharif,Ragi (Mandia),2.28,29.2,3.2,0.0,5.08,0.52,1256.9,27.1,Rainfed,2.5
Sundargarh,North Western Plateau,Sandy Loam,Kharif,Ragi (Mandia),1.88,90.7,40.8,21.0,5.22,0.65,1117.6,27.0,Borewell,10.38
Bargarh,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),0.88,78.0,44.5,36.8,7.04,0.46,1549.9,24.5,Canal,10.96
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Maize,0.62,81.8,62.9,41.0,6.0,0.52,1347.4,29.1,Rainfed,20.65
Sundargarh,North Western Plateau,Red Laterite,Kharif,Ragi (Mandia),2.43,47.1,32.0,9.2,4.9,0.56,1299.5,26.4,Borewell,6.08
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,2.05,30.1,40.0,60.3,6.51,0.41,1512.0,28.3,Borewell,12.55
Sambalpur,Western Central Table Land,Red Laterite,Rabi,Paddy (Rabi),1.06,71.4,60.6,28.8,6.87,0.75,35.1,27.6,Canal,18.45
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Ragi (Mandia),1.44,48.6,6.2,50.5,6.19,0.6,1122.8,27.5,Rainfed,3.19
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Maize,1.55,112.1,78.1,50.8,6.32,0.31,1166.6,31.0,Rainfed,26.95
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Maize,2.88,59.2,36.1,42.2,5.89,0.48,1355.5,23.2,Borewell,15.86
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),2.22,94.1,33.0,55.5,6.49,0.62,1545.8,25.5,Borewell,22.3
Sambalpur,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),0.96,126.4,35.1,30.8,6.06,0.35,1810.6,27.5,Canal,14.97
Bargarh,Western Central Table Land,Alluvial,Kharif,Paddy (Kharif),1.46,92.6,56.4,54.3,7.02,0.71,1450.1,29.2,Canal,25.04
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),0.45,47.0,41.1,50.4,6.74,0.47,1114.9,27.9,Borewell,12.77
Sambalpur,Western Central Table Land,Black Soil,Rabi,Green Gram (Moong),1.47,48.5,52.6,0.0,6.27,0.75,164.8,26.3,Canal,2.5
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Ragi (Mandia),0.6,69.1,29.0,4.8,5.17,0.71,1517.1,23.6,Borewell,5.52
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),6.42,15.6,44.0,0.0,6.37,0.43,159.5,23.8,Rainfed,2.5
Sambalpur,Western Central Table Land,Red Laterite,Rabi,Paddy (Rabi),1.12,86.4,59.6,47.5,5.82,0.37,110.5,24.4,Rainfed,22.15
Sambalpur,Western Central Table Land,Red Laterite,Kharif,Paddy (Kharif),1.71,91.6,37.8,36.0,6.67,0.31,1222.5,29.8,Canal,23.54
Bargarh,Western Central Table Land,Black Soil,Kharif,Groundnut,1.03,22.1,65.8,27.6,7.28,0.65,1171.1,28.4,Canal,6.92
Sundargarh,North Western Plateau,Red Laterite,Kharif,Ragi (Mandia),1.36,29.1,13.2,24.9,5.02,0.68,1241.3,27.3,Borewell,3.99
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),3.18,122.8,45.0,58.9,6.84,0.83,226.5,24.7,Rainfed,28.93
Sundargarh,North Western Plateau,Sandy Loam,Kharif,Ragi (Mandia),1.89,47.9,28.2,22.7,5.08,0.71,1679.1,27.5,Borewell,6.46
Bargarh,Western Central Table Land,Alluvial,Kharif,Paddy (Kharif),0.99,116.1,41.7,27.2,6.72,0.58,1228.2,27.7,Rainfed,19.63
Puri,East & South Eastern Coastal Plain,Coastal Saline,Rabi,Paddy (Rabi),2.98,131.2,43.3,51.9,6.74,0.28,126.5,25.0,Rainfed,28.45
Ganjam,South Eastern Coastal Plain,Red Laterite,Rabi,Green Gram (Moong),1.47,48.6,41.5,32.5,6.94,0.54,130.3,23.8,Rainfed,5.55
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Kharif,Paddy (Kharif),1.32,66.5,23.6,34.6,6.2,0.83,1647.5,27.2,Rainfed,10.26
Bargarh,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),0.95,97.5,51.4,53.5,6.77,0.72,1380.6,27.1,Rainfed,25.86
Balasore,North Eastern Coastal Plain,Sandy Loam,Kharif,Groundnut,3.28,64.6,49.4,28.5,6.57,0.45,1152.1,27.8,Borewell,6.99
Bargarh,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),2.85,109.8,62.8,48.9,6.91,0.54,1384.4,28.0,Canal,26.35
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Groundnut,2.15,0.0,46.5,39.8,6.82,0.58,1053.5,28.4,Borewell,2.5
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Ragi (Mandia),0.71,51.3,15.9,35.5,7.19,0.69,1340.5,27.3,Rainfed,9.06
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Ragi (Mandia),5.23,49.5,21.9,6.8,5.81,0.46,1746.4,25.1,Rainfed,8.37
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Rabi,Green Gram (Moong),1.14,19.5,70.0,45.9,6.78,0.46,186.2,22.0,Borewell,7.12
Cuttack,East & South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),0.57,84.0,64.4,56.4,6.47,0.72,2133.1,28.0,Rainfed,34.94
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Paddy (Kharif),2.01,107.6,47.5,53.0,6.13,0.46,961.6,27.3,Rainfed,24.45
Mayurbhanj,North Central Plateau,Red Laterite,Rabi,Mustard,4.09,68.3,28.5,19.0,6.25,0.16,256.6,20.0,Borewell,7.51
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Maize,2.67,89.7,54.9,39.3,4.95,0.72,1495.4,20.4,Borewell,14.24
Sundargarh,North Western Plateau,Red Laterite,Kharif,Ragi (Mandia),2.32,42.3,20.5,56.2,4.81,0.5,1426.2,28.9,Rainfed,5.54
Puri,East & South Eastern Coastal Plain,Coastal Saline,Rabi,Paddy (Rabi),1.97,126.1,48.9,51.2,7.35,0.56,40.1,24.6,Borewell,25.9
Sundargarh,North Western Plateau,Red Laterite,Kharif,Ragi (Mandia),1.69,52.0,25.9,26.8,4.71,0.39,1476.0,25.8,Borewell,5.95
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Maize,1.01,104.0,52.3,34.0,6.18,0.58,1172.5,29.8,Rainfed,20.18
Balasore,North Eastern Coastal Plain,Alluvial,Rabi,Mustard,1.87,54.4,34.8,51.5,6.14,0.7,145.4,25.2,Rainfed,8.65
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Groundnut,0.62,0.0,37.4,29.9,6.48,0.49,1402.8,31.3,Rainfed,4.46
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Mustard,0.49,82.2,20.4,63.8,6.49,0.8,163.5,26.0,Borewell,6.7
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Paddy (Kharif),1.51,36.8,37.5,69.4,6.13,0.58,1324.8,30.2,Rainfed,13.84
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Maize,0.64,97.9,55.5,23.3,5.94,0.34,1504.5,23.8,Rainfed,20.69
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Groundnut,2.82,22.0,47.8,35.5,6.49,0.31,1376.7,27.3,Borewell,8.94
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Paddy (Kharif),1.39,115.4,31.0,46.0,6.98,0.48,1306.9,31.6,Borewell,24.3
Ganjam,South Eastern Coastal Plain,Red Laterite,Kharif,Groundnut,2.02,0.0,55.3,66.0,6.76,0.59,1040.0,29.7,Rainfed,2.5
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Rabi,Mustard,5.4,69.1,27.4,28.1,6.17,0.65,233.5,26.9,Borewell,4.17
Sundargarh,North Western Plateau,Red Laterite,Rabi,Mustard,1.83,28.4,3.2,44.6,5.45,0.43,226.2,24.5,Rainfed,2.92
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Ragi (Mandia),2.56,22.4,41.3,1.7,4.94,0.3,1498.7,24.9,Rainfed,2.5
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Ragi (Mandia),1.0,77.0,8.1,50.1,5.1,0.61,1592.2,26.6,Rainfed,2.69
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),3.4,49.9,12.3,37.5,7.34,0.32,1607.7,28.9,Borewell,9.07
Puri,East & South Eastern Coastal Plain,Coastal Saline,Rabi,Paddy (Rabi),0.66,121.1,58.2,33.9,6.92,0.6,106.6,21.0,Borewell,24.78
Puri,East & South Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),2.05,136.8,14.8,50.4,6.91,0.25,248.6,26.3,Rainfed,17.38
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Mustard,1.82,71.8,17.4,30.4,6.54,0.44,159.5,23.6,Rainfed,5.41
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Ragi (Mandia),0.73,70.5,13.8,30.3,6.31,0.47,688.9,29.6,Rainfed,7.77
Puri,East & South Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),0.76,143.7,67.1,46.8,6.68,0.64,249.4,23.3,Borewell,29.39
Sundargarh,North Western Plateau,Sandy Loam,Rabi,Mustard,0.89,89.7,19.7,18.9,5.1,0.78,189.4,21.6,Borewell,3.64
Balasore,North Eastern Coastal Plain,Alluvial,Kharif,Groundnut,2.44,51.6,45.6,63.2,6.22,0.37,1740.5,26.1,Borewell,6.07
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Groundnut,4.28,47.7,55.8,66.1,6.48,0.32,739.1,28.4,Borewell,12.48
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Ragi (Mandia),5.39,74.0,32.5,40.2,5.26,0.63,1464.2,23.9,Rainfed,9.53
Sundargarh,North Western Plateau,Sandy Loam,Kharif,Ragi (Mandia),0.47,36.7,35.4,29.5,5.16,0.87,1215.5,27.3,Rainfed,6.24
Bargarh,Western Central Table Land,Alluvial,Kharif,Groundnut,1.6,0.0,52.6,53.5,7.18,0.64,1296.7,26.9,Rainfed,2.5
Balasore,North Eastern Coastal Plain,Sandy Loam,Rabi,Paddy (Rabi),1.56,125.6,47.0,48.2,6.1,0.45,217.7,23.4,Rainfed,21.15
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Ragi (Mandia),1.19,26.4,30.1,12.6,5.81,0.67,1544.4,23.3,Borewell,7.1
Sambalpur,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),1.09,127.9,62.0,41.3,6.38,0.6,210.3,23.0,Rainfed,30.01
Mayurbhanj,North Central Plateau,Sandy Loam,Kharif,Ragi (Mandia),1.39,31.8,37.7,50.9,5.75,0.5,1566.0,25.6,Borewell,9.94
Sambalpur,Western Central Table Land,Red Laterite,Rabi,Green Gram (Moong),3.26,43.7,13.4,21.2,6.51,0.9,205.2,25.2,Canal,4.55
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Ragi (Mandia),2.36,78.3,19.1,28.9,6.09,0.41,1191.9,24.7,Rainfed,9.26
Sundargarh,North Western Plateau,Red Laterite,Rabi,Mustard,4.04,67.0,40.8,46.8,6.22,0.6,153.6,25.7,Rainfed,6.33
Puri,East & South Eastern Coastal Plain,Coastal Saline,Kharif,Groundnut,1.54,62.0,39.5,67.5,6.51,0.77,1262.5,27.0,Borewell,17.44
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Mustard,3.84,81.0,21.3,42.4,7.3,0.79,110.9,24.0,Rainfed,5.71
Ganjam,South Eastern Coastal Plain,Alluvial,Kharif,Ragi (Mandia),1.12,40.5,12.6,12.4,5.73,0.67,1218.9,30.5,Borewell,5.35
Sundargarh,North Western Plateau,Sandy Loam,Rabi,Mustard,0.73,65.8,46.1,25.4,5.95,0.5,273.1,26.3,Rainfed,5.41
Sambalpur,Western Central Table Land,Red Laterite,Rabi,Green Gram (Moong),0.68,29.4,42.8,13.8,7.09,0.8,191.7,22.0,Canal,2.5
Balasore,North Eastern Coastal Plain,Sandy Loam,Rabi,Paddy (Rabi),0.68,149.0,73.3,43.1,6.38,0.55,181.3,21.5,Rainfed,30.01
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Paddy (Kharif),1.02,88.5,48.4,62.4,6.11,0.45,1447.4,26.8,Borewell,23.2
Puri,East & South Eastern Coastal Plain,Coastal Saline,Rabi,Paddy (Rabi),0.36,112.4,61.0,36.6,7.37,0.52,229.6,23.6,Rainfed,22.43
Balasore,North Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),3.29,80.7,83.8,51.2,6.01,0.64,180.9,22.2,Borewell,22.61
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Maize,1.96,49.7,53.4,61.4,5.41,0.7,1510.3,22.8,Rainfed,9.08
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Ragi (Mandia),1.32,31.5,39.0,20.5,6.16,0.72,1158.1,26.3,Rainfed,7.35
Balasore,North Eastern Coastal Plain,Sandy Loam,Kharif,Groundnut,3.13,19.4,45.9,26.6,6.13,0.6,1534.7,25.9,Rainfed,6.68
Puri,East & South Eastern Coastal Plain,Coastal Saline,Rabi,Green Gram (Moong),2.67,17.2,27.7,12.1,6.33,0.39,129.3,26.6,Borewell,2.5
Balasore,North Eastern Coastal Plain,Sandy Loam,Rabi,Mustard,1.12,62.6,43.8,39.8,6.85,0.37,139.9,22.8,Borewell,6.13
Puri,East & South Eastern Coastal Plain,Coastal Saline,Rabi,Paddy (Rabi),2.02,109.8,54.2,55.5,6.8,0.72,123.0,22.7,Borewell,29.19
Balasore,North Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),4.37,82.2,49.7,40.6,6.48,0.58,2002.0,27.5,Rainfed,19.97
Sundargarh,North Western Plateau,Sandy Loam,Kharif,Ragi (Mandia),0.36,62.0,13.2,16.5,5.13,0.7,1263.8,29.4,Borewell,4.22
Sundargarh,North Western Plateau,Sandy Loam,Kharif,Ragi (Mandia),3.93,64.7,20.6,14.9,5.48,0.48,1156.1,27.8,Borewell,8.48
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Maize,1.18,107.5,53.1,50.3,6.02,0.77,945.5,29.9,Borewell,24.05
Kalahandi,Western Undulating Zone,Red Laterite,Kharif,Maize,0.76,97.4,19.6,52.7,6.25,0.72,1051.2,28.1,Rainfed,11.73
Sundargarh,North Western Plateau,Sandy Loam,Kharif,Ragi (Mandia),2.02,29.4,40.2,17.0,5.56,0.64,1519.7,27.5,Rainfed,5.37
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Groundnut,0.38,1.5,63.3,75.7,7.0,0.39,1576.2,26.8,Rainfed,2.5
Sambalpur,Western Central Table Land,Red Laterite,Kharif,Paddy (Kharif),1.11,127.9,43.8,37.3,6.22,0.44,1355.5,26.3,Rainfed,20.54
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Rabi,Paddy (Rabi),5.1,126.3,51.1,26.0,6.21,0.8,144.6,19.7,Borewell,21.87
Sambalpur,Western Central Table Land,Red Laterite,Rabi,Green Gram (Moong),1.69,22.3,33.4,17.1,6.28,0.32,178.3,22.0,Canal,2.5
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Rabi,Mustard,0.5,60.2,45.2,21.3,6.87,0.52,47.5,24.2,Borewell,5.8
Balasore,North Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),2.35,80.4,46.0,40.6,6.76,0.56,1578.3,29.2,Borewell,18.24
Mayurbhanj,North Central Plateau,Sandy Loam,Rabi,Mustard,2.5,63.2,52.6,43.5,6.34,0.48,110.1,19.0,Borewell,6.98
Mayurbhanj,North Central Plateau,Sandy Loam,Rabi,Mustard,1.24,63.7,36.2,13.6,5.72,0.45,244.7,23.4,Rainfed,4.78
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Rabi,Mustard,1.59,55.4,28.2,1.8,6.34,0.55,42.4,25.3,Borewell,2.5
Balasore,North Eastern Coastal Plain,Sandy Loam,Rabi,Green Gram (Moong),3.35,25.8,54.7,11.6,6.43,0.43,80.3,26.2,Borewell,4.9
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Maize,0.39,124.8,34.7,33.8,5.81,0.7,1207.1,22.9,Rainfed,14.6
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),1.37,41.2,62.6,1.5,6.01,0.43,124.5,27.4,Rainfed,2.5
Sambalpur,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),1.54,87.6,43.8,39.4,6.33,0.48,989.2,27.5,Canal,20.46
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Maize,1.78,76.3,54.6,79.5,5.1,0.56,1038.9,24.5,Borewell,13.24
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Rabi,Paddy (Rabi),0.87,91.0,50.9,57.4,6.38,0.36,95.6,24.4,Borewell,31.09
Puri,East & South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),0.79,63.1,55.8,13.3,7.2,0.68,83.5,29.1,Borewell,3.07
Cuttack,East & South Eastern Coastal Plain,Sandy Loam,Rabi,Green Gram (Moong),4.1,18.9,44.6,44.4,7.15,0.47,138.3,27.5,Borewell,5.52
Puri,East & South Eastern Coastal Plain,Coastal Saline,Kharif,Groundnut,2.33,39.1,39.8,53.6,6.59,0.42,819.3,29.4,Borewell,10.81
Sambalpur,Western Central Table Land,Red Laterite,Kharif,Maize,3.79,99.8,30.6,54.4,7.09,0.57,1129.5,26.7,Canal,17.19
Sambalpur,Western Central Table Land,Black Soil,Kharif,Maize,0.83,91.0,39.5,57.2,6.83,0.72,1243.7,29.4,Canal,19.37
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Maize,1.41,103.2,41.3,44.7,5.28,0.58,1208.0,25.0,Rainfed,14.88
Sambalpur,Western Central Table Land,Red Laterite,Kharif,Paddy (Kharif),0.39,87.0,22.4,51.7,6.64,0.67,1198.9,28.6,Rainfed,14.98
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Mustard,1.38,15.9,38.9,11.4,6.85,0.51,60.8,26.2,Rainfed,2.5
Bargarh,Western Central Table Land,Alluvial,Kharif,Groundnut,1.91,70.1,61.5,12.1,7.26,0.52,1624.1,26.9,Canal,2.5
Puri,East & South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),0.91,81.0,37.7,47.3,7.41,0.45,1249.7,27.8,Rainfed,20.42
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Maize,0.73,96.3,52.1,56.0,5.57,0.52,1437.9,20.7,Rainfed,13.49
